"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"dc8abaafea08b7ee3d7275815bf96564"	0	0	0	0	65	79	104	46	69	92	88	0	80	154	0	115	88	67	0	124	84	125	45	41	0	0	52	0	0	68	0	61	112	82
"53f4fa5086ba14d2076e3f0a6345c832"	54	38	47	106	144	167	0	0	0	0	184	0	0	0	0	0	0	0	0	86	52	119	82	50	98	41	79	0	33	84	59	0	193	92
"d61f9f8affb2c0da3a68090d393a250b"	64	58	80	73	81	0	61	52	88	63	0	92	84	4	37	0	83	0	0	31	5	101	67	90	86	75	12	10	47	78	71	91	87	33
"98c5f26a7f6114ae74aa60dd13b0c1d0"	66	39	33	59	34	84	9	59	92	39	101	41	44	11	133	0	294	21	0	7	42	77	96	58	31	23	49	19	52	41	41	39	35	45
"14cb0b1999b6f965f6ee32889098ef65"	21	41	18	9	20	46	0	81	11	25	29	30	27	121	17	149	26	18	169	151	44	87	40	15	16	19	48	229	58	118	10	25	33	10
"cc4fa36d40bc7a4d412d0e7cb87ef853"	87	37	43	57	71	48	18	54	28	9	0	74	57	41	50	0	22	17	0	0	193	43	116	121	63	53	56	20	47	57	83	98	80	10
"faef71610aa24b3d201ee1da2cce1099"	100	36	113	97	70	9	34	41	32	10	0	41	42	0	0	0	26	85	0	0	0	78	136	161	105	104	50	12	69	13	49	107	80	9
"f6de5d7d1c5b2e6920c6d5e57c0275fd"	119	53	140	152	54	0	0	97	39	0	0	98	28	0	0	0	0	0	0	0	0	26	140	163	45	137	0	0	80	23	132	139	25	0
"1611a9b32995bb08d46cc8db72d1d5a0"	43	21	16	60	154	76	0	137	0	0	160	6	83	0	0	0	0	20	39	77	40	19	67	58	52	5	49	96	15	44	77	7	90	44
"1d555fb0f811f2b189b862d48c0c4e3d"	0	0	0	0	51	82	38	0	0	51	0	0	35	86	89	115	74	0	76	376	111	96	44	0	0	0	0	0	0	82	0	0	51	72
