"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"227" "SRR12805399" "SRR12805382" 0.494302031324324 0.560499526596123 0.186043158809929 -0.355817949422313
"228" "SRR12805400" "SRR12805382" 0.209110601586957 0.410781891669619 0.0743953998019971 -2.71080323003048
"229" "SRR12805401" "SRR12805382" 0.405595350797297 0.50232484910011 0.105814894450169 -0.914138777961594
"230" "SRR12805402" "SRR12805382" 0.427876583759009 0.455071063481952 0.0734534569754283 -0.370227363594884
"231" "SRR12805403" "SRR12805382" 0.428771222500795 0.488892602049915 0.0919589898237985 -0.653784688852255
"232" "SRR12805404" "SRR12805382" 0.356546471506359 0.481721559881638 0.0904922945883166 -1.38326792291816
"233" "SRR12805405" "SRR12805382" 0.502589704063063 0.495775517250169 0.104566615209485 0.065165988200371
"234" "SRR12805406" "SRR12805382" 0.472010463173542 0.497273026992991 0.103328700233814 -0.244487386004898
"235" "SRR12805407" "SRR12805382" 0.42693747182027 0.481461341223959 0.0901688627849426 -0.604686226704789
"236" "SRR12805408" "SRR12805382" 0.497892362324324 0.572598422965425 0.182249790292031 -0.409910269424145
"237" "SRR12805384" "SRR12805383" 0.4465697302 0.528989850294178 0.120143612049086 -0.686013335944185
"238" "SRR12805385" "SRR12805383" 0.42576184345 0.515082282036336 0.108896677680788 -0.820231071219305
"239" "SRR12805386" "SRR12805383" 0.3840385951 0.529061980932824 0.119779362066095 -1.21075436812561
"240" "SRR12805387" "SRR12805383" 0.653727919830769 0.497759638270983 0.0979786360236265 1.5918601022592
"241" "SRR12805388" "SRR12805383" 0.737636078964706 0.521878093694477 0.118210383294665 1.82520333034033
"242" "SRR12805389" "SRR12805383" 0.644606270688889 0.542542577251162 0.130229901401523 0.783719348162948
"243" "SRR12805390" "SRR12805383" 0.6944032438 0.597773344086587 0.198518484803816 0.48675517450633
"244" "SRR12805391" "SRR12805383" 0.643124734066667 0.510433592809989 0.106485524020291 1.24609558414149
"245" "SRR12805392" "SRR12805383" 0.425715177014286 0.501496434698541 0.103044453710855 -0.735422965091356
"246" "SRR12805393" "SRR12805383" 0.631520826036364 0.529579120154718 0.115568826796722 0.882086534121821
"247" "SRR12805394" "SRR12805383" NA NA NA NA
"248" "SRR12805395" "SRR12805383" 0.48735407955 0.545301927275375 0.129404329406399 -0.447804551757986
"249" "SRR12805396" "SRR12805383" 0.457163338892857 0.544686220056185 0.129188809033577 -0.677480362409565
"250" "SRR12805397" "SRR12805383" 0.481837152734483 0.491628740545884 0.0956405903629595 -0.102378998019999
"251" "SRR12805398" "SRR12805383" 0.341653968803846 0.512887715085782 0.106842739035871 -1.60267087709578
"252" "SRR12805399" "SRR12805383" 0.5705565586 0.58856816454014 0.190177941485829 -0.0947092275761239
"253" "SRR12805400" "SRR12805383" 0.480339378069565 0.489493958218001 0.095937602840823 -0.0954222315062893
"254" "SRR12805401" "SRR12805383" 0.5009838505 0.529675414240481 0.119005943341816 -0.241093536463734
"255" "SRR12805402" "SRR12805383" 0.294160032979167 0.36922122261831 0.0718183534184234 -1.04515330784356
"256" "SRR12805403" "SRR12805383" 0.383606460929412 0.513863450376306 0.10806047465799 -1.20540826661326
"257" "SRR12805404" "SRR12805383" 0.458685790711765 0.515026392733074 0.108105429533011 -0.521163481470699
"258" "SRR12805405" "SRR12805383" 0.615657576133333 0.523375586716316 0.117513549744188 0.785288076293359
"259" "SRR12805406" "SRR12805383" 0.300492956073684 0.529112763338091 0.117151640695002 -1.95148617559361
"260" "SRR12805407" "SRR12805383" 0.35653656935 0.51048872094975 0.104775649312158 -1.46935048945466
"261" "SRR12805408" "SRR12805383" 0.5660054952 0.596776655454454 0.189631288952385 -0.162268370501774
"262" "SRR12805385" "SRR12805384" 0.415515885121212 0.508617245476238 0.11203249860541 -0.831021011884578
"263" "SRR12805386" "SRR12805384" 0.401740875969697 0.52395356957462 0.124485114207551 -0.981745443082948
"264" "SRR12805387" "SRR12805384" 0.626938561916667 0.492431325487953 0.103365471744063 1.30127821369364
"265" "SRR12805388" "SRR12805384" 0.710785938063726 0.517688821957011 0.124724487923834 1.54818928761314
"266" "SRR12805389" "SRR12805384" 0.604961552083333 0.539249964794461 0.137253674081463 0.478760133225074
"267" "SRR12805390" "SRR12805384" 0.375336486666667 0.593154343674091 0.197310664398323 -1.10393352367261
"268" "SRR12805391" "SRR12805384" 0.517494262125 0.505294967413017 0.113206917493504 0.107761036004561
"269" "SRR12805392" "SRR12805384" 0.414343308755952 0.49923329257724 0.107678073002543 -0.788368341429024
"270" "SRR12805393" "SRR12805384" 0.572107670287879 0.524844997709183 0.117828837206918 0.401112950777055
"271" "SRR12805394" "SRR12805384" NA NA NA NA
"272" "SRR12805395" "SRR12805384" 0.448202459166667 0.537980455933892 0.134448106676419 -0.66775203449534
"273" "SRR12805396" "SRR12805384" 0.576052721392857 0.534911321808124 0.136794099065297 0.300754198213589
"274" "SRR12805397" "SRR12805384" 0.461485757191092 0.485570554545038 0.101120917569545 -0.238178192334753
"275" "SRR12805398" "SRR12805384" 0.53357911323718 0.51093699955364 0.114236055165925 0.198204618066094
"276" "SRR12805399" "SRR12805384" 0.540553403 0.587356410564147 0.191927448052581 -0.243857812100566
"277" "SRR12805400" "SRR12805384" 0.457669158112319 0.487710200925402 0.100375337899539 -0.299287090252685
"278" "SRR12805401" "SRR12805384" 0.456469650916667 0.525087501982793 0.126790731118847 -0.541189805127062
"279" "SRR12805402" "SRR12805384" 0.383203151833333 0.480356883853489 0.0949465358578949 -1.02324672661638
"280" "SRR12805403" "SRR12805384" 0.3225241765 0.509933140380133 0.11254712043167 -1.66516000730479
"281" "SRR12805404" "SRR12805384" 0.351980067137255 0.509171858688892 0.108800480951699 -1.44477110925109
