Site1	Site2	RCb
531	SRR12805400	SRR12805406	1
532	SRR12805400	SRR12805407	0.95959595959596
533	SRR12805400	SRR12805408	0.757575757575758
534	SRR12805401	SRR12805402	1
535	SRR12805401	SRR12805403	0.97979797979798
536	SRR12805401	SRR12805404	1
537	SRR12805401	SRR12805405	0.939393939393939
538	SRR12805401	SRR12805406	1
539	SRR12805401	SRR12805407	1
540	SRR12805401	SRR12805408	1
541	SRR12805402	SRR12805403	1
542	SRR12805402	SRR12805404	0.858585858585859
543	SRR12805402	SRR12805405	0.474747474747475
544	SRR12805402	SRR12805406	0.535353535353535
545	SRR12805402	SRR12805407	0.898989898989899
546	SRR12805402	SRR12805408	0.95959595959596
547	SRR12805403	SRR12805404	0.676767676767677
548	SRR12805403	SRR12805405	0.656565656565657
549	SRR12805403	SRR12805406	0.696969696969697
550	SRR12805403	SRR12805407	1
551	SRR12805403	SRR12805408	0.797979797979798
552	SRR12805404	SRR12805405	0.454545454545455
553	SRR12805404	SRR12805406	0.535353535353535
554	SRR12805404	SRR12805407	0.97979797979798
555	SRR12805404	SRR12805408	0.97979797979798
556	SRR12805405	SRR12805406	1
557	SRR12805405	SRR12805407	0.97979797979798
558	SRR12805405	SRR12805408	0.737373737373737
559	SRR12805406	SRR12805407	0.939393939393939
560	SRR12805406	SRR12805408	0.797979797979798
561	SRR12805407	SRR12805408	0.95959595959596
