	Kingdom	Phylum	Class	Order	Family	Genus	Species
1e71b5a68bb47e71015e79f8915246a2	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA
0ba372758b0ebf7a6e13ceccd86f9520	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Persicitalea	Persicitalea jodogahamensis
12f837deaf5db86e4341b80a8bd1b48b	Bacteria	Bacteroidetes	Ignavibacteria	SJA-28	metagenome	metagenome	metagenome
eaa89df5008445000d65f6bf2e8aade1	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA
2747fbbce7568bfdaeb3b8ac3d1ae403	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
adc5ef33dc7250a1107c89f786264eb4	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	NA
f652949d75b16ae5467df6c59f0ed2ff	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured bacterium	uncultured bacterium
ff53c2721b9c38e1f3750970768441c2	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	uncultured	uncultured bacterium
6fe704d9f1c312b674d9d59fd1ddf230	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Gemmata	uncultured bacterium
bd51318e79c17d62a16f7a17ed6ccde1	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured bacterium	uncultured bacterium
48b6a009de42cae8d7fc7f72b629d8fa	Bacteria	Planctomycetes	vadinHA49	NA	NA	NA	NA
6e09903c0b8d65c9b55853dea592e293	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter	NA
7e8495a6bd3f122568d5b87c8325a0c9	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA
3a6a44f66caab160a86b1971e7c6b7d9	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	LB3-76	NA
33476c65a4456debf0ba5894d83a8398	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma sp. R-37560
df5ee72bee284a0d9aca265fbb37b467	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	uncultured bacterium
13109f099788e0818da0c9a2cea09857	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	uncultured soil bacterium
6aa4ffed1d803a92c550fad304644244	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA
74da4f552f6a28050e596b9b5a9165d2	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS 17	uncultured bacterium	uncultured bacterium
2a64f7117c72e249a9c2e5850fd6eb3e	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA
805d331f88bc7b2f2b82942ccd068aff	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured bacterium
066d06b31dcce56fb9dde37e3298d861	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Berkeleya fennica	Berkeleya fennica
e3e9c8872487b9fce5cc8580f4803f7a	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	uncultured bacterium	uncultured bacterium
