"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI" "Glacier_1" "Glacier_2" "Glacier"
"107" 74 72 0.0253866757014176 0.154180407719453 0.0565381264251594 -2.2779978779191 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"108" 74 73 0.0321401587426167 0.149542273234741 0.0501247859004427 -2.34219682704097 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
"109" 77 76 0.0289383219506499 0.314933393839956 0.168273986817777 -1.69957981799651 "Taylor" "Taylor" "Taylor"
"110" 96 76 0.148076446573764 0.310224639973635 0.14669513172108 -1.1053413395352 "Taylor" "Taylor" "Taylor"
"111" 97 76 0.0520054126627271 0.292840331553734 0.168094952615983 -1.43273141247257 "Taylor" "Taylor" "Taylor"
"112" 98 76 0.0636642394565551 0.31422882181233 0.176298771037484 -1.42124973918565 "Taylor" "Taylor" "Taylor"
"113" 99 76 0.0583563186783093 0.323798803396105 0.174561625689818 -1.52062335389489 "Taylor" "Taylor" "Taylor"
"114" 96 77 0.105263316744738 0.311510424511461 0.162529900797242 -1.26897947242347 "Taylor" "Taylor" "Taylor"
"115" 97 77 0.114618288467878 0.311824659304079 0.203830574060049 -0.967501424875069 "Taylor" "Taylor" "Taylor"
"116" 98 77 0.127860244665242 0.326115323772527 0.208260707075931 -0.951956237404887 "Taylor" "Taylor" "Taylor"
"117" 99 77 0.0926284357979546 0.327820865476369 0.200810707897193 -1.17121458382998 "Taylor" "Taylor" "Taylor"
"118" 81 78 0.0407049008504163 0.311090008580545 0.125042034910566 -2.16235370708351 "Canada" "Canada" "Canada"
"119" 82 78 0.0392954491014774 0.300776244714596 0.124477894113184 -2.10062033484726 "Canada" "Canada" "Canada"
"120" 83 78 0.0490417373698608 0.303518832676733 0.132811382442591 -1.91607895819376 "Canada" "Canada" "Canada"
"121" 82 81 0.00450756679974705 0.3139892597005 0.125351416502274 -2.46891261013503 "Canada" "Canada" "Canada"
"122" 83 81 0.00845522879957287 0.313933068986014 0.139942516097157 -2.18288086212742 "Canada" "Canada" "Canada"
"123" 83 82 0.0116931406468977 0.304230577994729 0.134427078373954 -2.176179389498 "Canada" "Canada" "Canada"
"124" 87 86 0.012571377205328 0.179028472233237 0.0605552345915916 -2.7488473317057 "Margin" "Margin" "Margin"
"125" 88 86 0.0245032092583384 0.175500915749167 0.0615167765490867 -2.45457767720227 "Margin" "Margin" "Margin"
"126" 89 86 0.0140203588237921 0.173266911699131 0.0677796555459956 -2.349474213059 "Margin" "Margin" "Margin"
"127" 88 87 0.0323008096526968 0.173689150434777 0.054653300497696 -2.58700461810245 "Margin" "Margin" "Margin"
"128" 89 87 0.0101401212966151 0.172043400767272 0.0627288335339078 -2.58100255256844 "Margin" "Margin" "Margin"
"129" 89 88 0.0268898135936306 0.169645565400889 0.064104583680244 -2.22691956817518 "Margin" "Margin" "Margin"
"130" 91 90 0.0372990430562928 0.313544711693303 0.194129920806782 -1.42299377390648 "Commonwealth" "Commonwealth" "Commonwealth"
"131" 92 90 0.0488350193969336 0.311395555891879 0.181434599395578 -1.44713597830637 "Commonwealth" "Commonwealth" "Commonwealth"
"132" 93 90 0.0780563784603647 0.309149259529855 0.168513345644859 -1.37136248874031 "Commonwealth" "Commonwealth" "Commonwealth"
"133" 94 90 0.0465444624347582 0.313221803024181 0.183440293165438 -1.4537555298656 "Commonwealth" "Commonwealth" "Commonwealth"
"134" 95 90 0.0909442698052149 0.319689921477607 0.173179217707789 -1.32086086714147 "Commonwealth" "Commonwealth" "Commonwealth"
"135" 92 91 0.0102139886466485 0.295863699121415 0.153918075014801 -1.85585552864599 "Commonwealth" "Commonwealth" "Commonwealth"
"136" 93 91 0.0379034529155605 0.298570945841151 0.147486897031888 -1.76739424431197 "Commonwealth" "Commonwealth" "Commonwealth"
"137" 94 91 0.00962020598720355 0.299030426528244 0.158138154926678 -1.83011001156064 "Commonwealth" "Commonwealth" "Commonwealth"
"138" 95 91 0.0503840608336371 0.309542105818085 0.156855808397956 -1.6522055997247 "Commonwealth" "Commonwealth" "Commonwealth"
"139" 93 92 0.0415508113256406 0.30229193991242 0.140397494809127 -1.8571636833069 "Commonwealth" "Commonwealth" "Commonwealth"
"140" 94 92 0.00333685294415494 0.304923627942461 0.155890580940006 -1.93460549816265 "Commonwealth" "Commonwealth" "Commonwealth"
"141" 95 92 0.0537869476088683 0.31141435646172 0.141547031890793 -1.82008344089911 "Commonwealth" "Commonwealth" "Commonwealth"
"142" 94 93 0.0408078394244088 0.302197623351888 0.140201041801069 -1.86439259344709 "Commonwealth" "Commonwealth" "Commonwealth"
"143" 95 93 0.0142797482326409 0.306457196035297 0.130062152080267 -2.24644481987612 "Commonwealth" "Commonwealth" "Commonwealth"
"144" 95 94 0.0539510230396805 0.312557682736018 0.146549592325391 -1.76463581776564 "Commonwealth" "Commonwealth" "Commonwealth"
"145" 97 96 0.204729929397887 0.298324980847277 0.16222049881817 -0.576961926089862 "Taylor" "Taylor" "Taylor"
"146" 98 96 0.217196379430218 0.317147332470751 0.171494256300269 -0.582823910239468 "Taylor" "Taylor" "Taylor"
"147" 99 96 0.210093070767077 0.317662520313503 0.16638875658669 -0.646494701643984 "Taylor" "Taylor" "Taylor"
"148" 98 97 0.0712197271511982 0.307996918749798 0.194901747639316 -1.21485412248215 "Taylor" "Taylor" "Taylor"
"149" 99 97 0.0627938156278958 0.314397869160791 0.211203866039377 -1.19128526504333 "Taylor" "Taylor" "Taylor"
"150" 99 98 0.0811966474830716 0.326563233159306 0.202945835286883 -1.20902498604805 "Taylor" "Taylor" "Taylor"
